Player Name,Age,Height,Weight,Team Name,Goals Scored,Assists,Shots on Target,Pass Accuracy,Minutes Played,Market Value (Millions $)
H. Kane,31,188,86,Tottenham,23,14.0,53,51,3087,79.23299999999999
Mohamed Salah,32,175,71,Liverpool,22,5.0,52,58,3082,63.181000000000004
Bruno Fernandes,30,179,66,Manchester United,18,12.0,51,97,3109,79.5904
Son Heung-Min,32,183,78,Tottenham,17,10.0,36,76,3126,61.478
P. Bamford,31,185,71,Leeds,17,7.0,47,30,3062,58.0
D. Calvert-Lewin,27,187,71,Everton,16,0.0,46,18,2876,58.0
J. Vardy,37,179,74,Leicester,15,9.0,38,28,2845,58.0
O. Watkins,29,180,75,Aston Villa,14,5.0,46,45,3329,60.587799999999994
İ. Gündoğan,34,180,80,Manchester City,13,2.0,22,42,2031,58.0
A. Lacazette,33,175,73,Arsenal,13,2.0,29,23,1930,58.0
K. Ịheanachọ,28,185,82,Leicester,12,2.0,25,28,1456,58.0
D. Ings,32,178,73,Southampton,12,4.0,27,22,2183,58.0
C. Wood,33,191,81,Burnley,12,3.0,39,22,2750,58.0
C. Wilson,32,180,66,Newcastle,12,5.0,20,17,2085,58.0
M. Rashford,27,180,70,Manchester United,11,9.0,37,43,2927,58.0
S. Mané,32,175,69,Liverpool,11,7.0,36,60,2812,58.0
G. Bale,34,186,81,Tottenham,11,2.0,19,21,921,58.0
W. Zaha,32,180,66,Crystal Palace,11,2.0,20,30,2613,58.0
Matheus Pereira,28,176,80,West Brom,11,6.0,28,60,2582,58.0
R. Sterling,30,172,69,Manchester City,10,7.0,28,40,2537,58.0
Son Heung-Min,32,183,78,Tottenham,23,7.0,49,73,3021,66.96549999999999
Mohamed Salah,32,175,71,Liverpool,23,13.0,60,64,2762,69.51033333333334
Cristiano Ronaldo,39,187,83,Manchester United,18,3.0,43,26,2459,58.0
H. Kane,31,188,86,Tottenham,17,9.0,55,53,3232,61.946666666666665
S. Mané,32,175,69,Liverpool,16,2.0,39,43,2825,58.0
K. De Bruyne,33,181,68,Manchester City,15,8.0,31,87,2205,58.0
Diogo Jota,28,178,68,Liverpool,15,4.0,33,41,2373,58.0
J. Vardy,37,179,74,Leicester,15,2.0,26,18,1806,58.0
W. Zaha,32,180,66,Crystal Palace,14,1.0,32,47,2761,58.0
R. Sterling,30,172,69,Manchester City,13,5.0,28,42,2127,58.0
J. Bowen,28,175,70,West Ham,12,10.0,34,42,2993,58.6628
J. Maddison,28,175,73,Leicester,12,8.0,34,49,2466,58.0
I. Toney,28,185,88,Brentford,12,5.0,30,43,2908,58.0
M. Mount,25,181,76,Chelsea,11,10.0,29,58,2365,58.0
O. Watkins,29,180,75,Aston Villa,11,2.0,32,35,2955,58.0
B. Saka,23,178,72,Arsenal,11,7.0,31,69,2996,58.0
T. Pukki,34,180,81,Norwich,11,3.0,27,27,3261,58.0
R. Mahrez,33,179,67,Manchester City,11,5.0,23,40,1491,58.0
Raphinha,28,176,68,Leeds,11,3.0,25,67,2922,58.0
M. Antonio,34,180,82,West Ham,10,8.0,29,46,2980,58.0
E. Haaland,24,194,88,Manchester City,36,8.0,60,30,2779,87.07533333333333
H. Kane,31,188,86,Tottenham,30,3.0,63,57,3408,84.63199999999999
I. Toney,28,185,88,Brentford,20,4.0,42,27,2955,66.19200000000001
Mohamed Salah,32,175,71,Liverpool,19,12.0,47,66,3297,72.53399999999999
C. Wilson,32,180,66,Newcastle,18,5.0,35,23,1885,58.0
M. Rashford,27,180,70,Manchester United,17,5.0,50,30,2889,59.5134
M. Ødegaard,26,178,68,Arsenal,15,7.0,33,77,3149,63.6098
Gabriel Martinelli,23,178,75,Arsenal,15,5.0,32,59,2806,58.0
O. Watkins,29,180,75,Aston Villa,15,6.0,47,31,3136,61.46559999999999
B. Saka,23,178,72,Arsenal,14,11.0,32,76,3194,58.02433333333333
A. Mitrović,30,189,89,Fulham,14,1.0,35,16,2015,58.0
H. Barnes,27,174,66,Leicester,13,1.0,34,19,2720,58.0
Rodrigo,33,182,77,Leeds,13,1.0,27,16,1943,58.0
P. Foden,24,171,63,Manchester City,11,5.0,22,44,1844,58.0
Roberto Firmino,33,181,76,Liverpool,11,4.0,25,21,1211,58.0
M. Almirón,30,174,70,Newcastle,11,2.0,21,26,2508,58.0
Gabriel Jesus,27,175,73,Arsenal,11,6.0,32,32,2075,58.0
Son Heung-Min,32,183,78,Tottenham,10,6.0,40,63,2899,58.0
T. Awoniyi,27,183,84,Nottingham Forest,10,1.0,15,10,1411,58.0
J. Maddison,28,175,73,Leicester,10,9.0,29,69,2485,58.0
